Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
M7 Priest,,,V,M7,,1375,110,4.80s,92,619,0.38,1.90s,0.12 / 0.18 / 0.18,-8° / +18°,60 / 20,48°/s,600,24.97,24t,540,360
T-45,,,VII,Škoda T 45,,1714,220,7.70s,194,995,0.38,2.50s,0.12 / 0.18 / 0.18,-7° / +15°,30 / 14,25°/s,660,14.14,46.7t,1400,370
59-16,,,VI,59-16,,1816,115,3.80s,138,700,0.40,2.00s,0.12 / 0.14 / 0.14,-5° / +20°,60 / 23,60°/s,450,28.21,16t,800,360
Ho-Ri 3,,,X,Ho-Ri 3,,2745,700,15.30s,305,980,0.36,2.50s,0.10 / 0.14 / 0.14,-7° / +15°,35 / 15,36°/s,1000,15.31,65.3t,2000,380
ST-II,,,X,ST-II,,2357,440,11.20s,258,940,0.40,3.00s,0.06 / 0.14 / 0.14,-8° / +20°,40 / 13,26°/s,840,12.17,69t,2500,390
KR-1,,,XI,KR-1,,2271,530,14.00s,268,1000,0.40,2.80s,0.06 / 0.17 / 0.17,-6° / +20°,60 / 15,28°/s,1420,17.82,79.7t,2600,400
AMX 50 B,,,X,AMX 30 B,,3000,390,7.80s,248,1100,0.36,2.00s,0.04 / 0.12 / 0.12,-8° / +20°,65 / 23,48°/s,720,20.17,35.7t,1900,410
Pz.Kpfw. B2 740 (f),No data
KV-1S,,,VI,KV-1S,,2455,450,11.00s,61,515,0.48,2.90s,0.14 / 0.20 / 0.20,-5° / +20°,43 / 14,38°/s,660,15.04,43.9t,1150,340
T1E6,,,V,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
Cruiser Mk. IV,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
LPT-67 Šelma,,,IX,Šelma,,2654,16,20.00s,186,800,0.40,2.00s,0.08 / 0.12 / 0.12,-7° / +20°,62 / 23,45°/s,600,30.46,19.7t,1400,380
Rheinmetall Panzerwagen,No data
M37,,,IV,M37,,1640,410,15.00s,27,410,0.80,5.00s,0.44 / 0.40 / 0.40,-10.5° / +42.8°,56.3 / 14,28°/s,296,14.27,20.7t,275,260
WZ-131,,,IV,WZ-132-1,,2489,390,9.40s,246,1200,0.38,1.80s,0.06 / 0.12 / 0.12,-5° / +20°,70 / 23,60°/s,1080,36.36,29.7t,1700,400
M-VI-Y,,,X,M-VI-Y,,2353,400,10.20s,253,1000,0.37,2.30s,0.10 / 0.18 / 0.18,-10° / +20°,40 / 17,28°/s,780,16.89,46.2t,1900,390
HWK 12,,,IX,HWK 12,,1870,240,7.70s,180,980,0.36,2.00s,0.12 / 0.10 / 0.10,-10° / +15°,65 / 23,64°/s,450,36.82,12.2t,1250,410
Strv fm/21,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
T-46,,,III,T-46,,1996,40,4.60s,46,900,0.45,2.30s,0.14 / 0.25 / 0.25,-8° / +16°,58 / 20,55°/s,350,23.86,14.7t,445,310
Chimera,,,III,Chi-Se,,2200,330,9.00s,220,1000,0.37,2.20s,0.08 / 0.13 / 0.13,-13° / +20°,40 / 14,36°/s,940,17.18,54.7t,1550,390
Pz.Kpfw. III Ausf. J,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
M18 Hellcat,,,X,Hellcat,,1694,240,8.50s,160,853,0.35,1.70s,0.20 / 0.36 / 0.36,-10° / +20°,72 / 12,37°/s,500,25.03,20t,650,370
T-10,,,VI,T-103,,2357,440,11.20s,258,870,0.36,2.30s,0.16 / 0.23 / 0.23,-8° / +30°,40 / 12,30°/s,900,14.35,62.7t,1250,380
25TP KSUST II,,,V,25TP,,1620,135,5.00s,135,925,0.38,2.50s,0.14 / 0.25 / 0.25,-10° / +10°,56 / 20,42°/s,500,19.14,26.1t,660,350
T2 Medium Tank,,,X,T-22 med.,,2560,320,7.50s,264,1535,0.38,2.10s,0.12 / 0.12 / 0.12,-5° / +16°,55 / 20,40°/s,750,21.01,35.7t,1900,400
M10 Wolverine,,,X,Wolverine,,2156,115,3.20s,128,792,0.38,1.70s,0.14 / 0.23 / 0.23,-10° / +30°,48 / 12,47°/s,550,19.23,28.6t,500,370
A-32,,,IV,A-32,,1610,110,4.10s,66,558,0.44,2.29s,0.12 / 0.22 / 0.22,-7° / +22°,70 / 20,40°/s,540,27.99,19.3t,550,320
Ares 90 C,,,XI,Ares 90 C,,21114,115,7.00s,235,1000,0.36,1.90s,0.07 / 0.17 / 0.17,-9° / +45°,55 / 19,43°/s,930,20.81,44.7t,2050,390
AMX ELC 901,,,XI,AMX ELC 901,,1210,240,11.90s,120,950,0.40,2.70s,0.20 / 0.25 / 0.25,-5° / +13°,60 / 20,50°/s,220,28.39,7.8t,550,360
Fiat 3000,,,I,Fiat 3000,,857,40,2.80s,39,640,0.42,2.00s,0.16 / 0.38 / 0.38,-10° / +20°,21 / 8,50°/s,63,11.05,5.7t,260,280
SU-14-2,,,VII,SU-152,,2373,700,17.70s,190,750,0.48,3.20s,0.08 / 0.21 / 0.21,-6° / +18°,43 / 12,32°/s,670,14.74,45.5t,900,330
Renault UE 57,,,VII,UE 57,,1607,75,2.80s,110,892,0.39,2.00s,0.16 / 0.26 / 0.26,-2° / +20°,36 / 12,30°/s,48,18.90,2.5t,265,320
TBT,,,III,TBT,,1589,490,34.00s,247,980,0.41,2.80s,0.12 / 0.20 / 0.20,-7° / +20°,36 / 15,28°/s,700,14.08,49.7t,1850,380
VK 16.02 Leopard,,,X,Leopard 1,,2710,420,9.30s,278,1480,0.29,1.70s,0.07 / 0.13 / 0.13,-9° / +20°,70 / 23,50°/s,830,20.91,39.7t,1850,410
AT 8,,,X,AT 8,,1957,150,4.60s,171,884,0.32,1.70s,0.12 / 0.32 / 0.32,-5° / +18°,20 / 10,28°/s,450,10.95,41.1t,900,330
Pz.Kpfw. III Ausf. E,,,VI,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
LT-432,,,VIII,LT-432,,2077,180,5.20s,176,1150,0.38,2.00s,0.08 / 0.10 / 0.10,-7° / +15°,70 / 23,48°/s,900,33.68,26.7t,1100,380
Obsidian,,,VIII,Obsidian,,2308,200,5.20s,212,1100,0.34,2.00s,0.12 / 0.18 / 0.18,-6° / +20°,42 / 16,30°/s,520,13.09,39.7t,1300,380
KV-220-2,,,VIII,KV-122,,1759,390,13.30s,175,780,0.46,3.20s,0.15 / 0.21 / 0.21,-6° / +20°,42 / 14,40°/s,700,15.14,46.2t,1200,360
AT-1,,,VIII,AT 15,,2800,280,6.00s,220,878,0.30,1.70s,0.10 / 0.18 / 0.18,-10° / +10°,25 / 12,28°/s,720,11.64,61.8t,1500,370
LHMTV,,,VIII,LHMTV,,1380,230,10.00s,226,1020,0.37,2.20s,0.12 / 0.16 / 0.16,-10° / +15°,63 / 23,50°/s,160,35.35,4.5t,1200,380
M-V-Y,,,VIII,M-V-Y,,2491,440,10.60s,260,1120,0.37,2.30s,0.08 / 0.16 / 0.16,-12° / +18°,40 / 17,30°/s,750,18.58,40.4t,2200,400
WZ-111 Alpine Tiger,,,X,WZ-111 5A,,2625,490,11.20s,250,930,0.39,2.50s,0.08 / 0.18 / 0.18,-7° / +23°,50 / 15,36°/s,850,17.10,49.7t,2200,400
T-43,,,X,LT-432,,2077,180,5.20s,176,1150,0.38,2.00s,0.08 / 0.10 / 0.10,-7° / +15°,70 / 23,48°/s,900,33.68,26.7t,1100,380
K-91,,,VIII,K-91,,3368,320,5.70s,276,1700,0.33,1.70s,0.10 / 0.14 / 0.10,-9° / +20°,55 / 20,50°/s,860,19.24,44.7t,1950,410
T28 Concept,,,VIII,T28,,2637,400,9.10s,248,945,0.38,2.10s,0.08 / 0.19 / 0.19,-5° / +20°,22 / 10,24°/s,780,13.07,59.7t,1600,360
Loyd Gun Carriage,,,VIII,Loyd GC,,1100,165,9.00s,21,265,0.80,5.00s,0.60 / 0.48 / 0.48,-1° / +45°,48 / 12,24°/s,85,19.77,4.3t,160,260
Pz.Kpfw. M 15,No data
Tiger-Maus,,,X,Maus,,2211,490,13.30s,246,920,0.36,2.10s,0.05 / 0.20 / 0.20,-8° / +24°,20 / 15,15°/s,1950,10.33,188.7t,3000,400
T40,,,X,Škoda T 40,,1913,220,6.90s,145,773,0.37,2.30s,0.16 / 0.24 / 0.24,-6° / +20°,50 / 20,38°/s,700,17.63,39.7t,780,370
SU-101,,,VIII,SU-101,,2095,440,12.60s,258,850,0.42,2.50s,0.12 / 0.12 / 0.12,-3° / +18.3°,54 / 18,25°/s,620,17.78,34.9t,1300,360
AMX AC mle. 46,,,VIII,AMX AC 48,,1846,400,34.00s,257,1067,0.36,2.60s,0.10 / 0.17 / 0.17,-6° / +18°,50 / 15,44°/s,930,18.50,50.3t,1300,370
BZ-75,,,X,BZ-75,,2167,650,18.00s,258,1150,0.42,2.90s,0.15 / 0.20 / 0.20,-8° / +20°,30 / 15,30°/s,800,12.72,62.9t,2500,390
Projet Louis,,,IX,Projet Louis,,2400,125,18.00s,210,1000,0.38,1.60s,0.10 / 0.10 / 0.10,-9° / +15°,65 / 20,50°/s,550,31.07,17.7t,1400,380
Crusader,,,VI,Crusader,,2045,75,2.20s,126,892,0.37,2.00s,0.10 / 0.19 / 0.19,-12° / +20°,63 / 22,45°/s,520,26.66,19.5t,800,370
IS-4,,,X,IS-4,,2296,440,11.50s,258,940,0.42,2.50s,0.06 / 0.18 / 0.18,-6° / +16°,43 / 14,30°/s,850,14.04,60.5t,2500,400
Cobra,,,IX,Cobra,,1585,360,50.00s,268,793,0.38,3.80s,0.08 / 0.21 / 0.21,-10° / +13°,40 / 25,55°/s,600,18.58,32.3t,1600,370
Vickers MBT Mk. 3,,,X,Vickers 3,,2925,390,8.00s,268,1540,0.27,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 25,50°/s,850,22.14,38.4t,1900,410
KV-4 KTTS,,,VIII,KV-4 KTTS,,2571,360,8.40s,227,1043,0.36,2.50s,0.12 / 0.22 / 0.22,-5° / +20°,35 / 10,24°/s,1200,12.03,99.7t,1400,350
IS-2-II,,,VIII,IS-2-II,,2250,300,8.00s,221,980,0.38,2.30s,0.08 / 0.16 / 0.16,-7° / +20°,38 / 15,34°/s,750,14.81,50.7t,1650,350
T71 CMCD P,,,VII,T71 CMCD P,,2093,150,4.30s,175,1219,0.38,1.90s,0.08 / 0.12 / 0.12,-10° / +20°,64 / 25,65°/s,600,35.95,16.7t,840,400
FV3805,,,VII,FV3805,,1378,850,37.00s,46,440,0.74,4.80s,0.47 / 0.30 / 0.30,-2° / +63°,40 / 12,22°/s,750,14.46,51.9t,450,275
STA-1,,,VIII,STA-1,,2215,240,6.50s,219,1080,0.37,2.20s,0.10 / 0.14 / 0.14,-10° / +13°,45 / 20,53°/s,650,19.23,33.8t,1600,390
Bat.-Châtillon 12 t,No data
T95,,,X,T95E6,,3000,400,8.00s,258,1067,0.38,2.00s,0.10 / 0.12 / 0.12,-9° / +20°,56.3 / 20,46°/s,750,18.47,40.6t,2150,410
Object 430U,,,X,Obj. 430U,,2588,440,10.20s,252,940,0.40,2.30s,0.12 / 0.16 / 0.16,-5° / +18°,50 / 18,52°/s,640,15.35,41.7t,2000,400
IS-3A Peregrine,,,VIII,IS-3A,,1950,390,12.00s,221,1400,0.46,3.00s,0.16 / 0.26 / 0.26,-5° / +19°,40 / 15,26°/s,520,10.67,48.7t,1550,350
Bat.-Châtillon Bourrasque,,,VIII,Bourrasque,,1800,360,22.00s,190,1000,0.42,3.50s,0.10 / 0.10 / 0.10,-6° / +13°,62 / 23,40°/s,310,26.37,11.8t,1250,390
SU-152,,,VIII,ISU-152,,2557,750,17.60s,260,850,0.38,3.10s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 13,30°/s,780,15.95,48.9t,1250,350
IS-7,,,X,IS-7,,2146,490,13.70s,250,900,0.40,2.90s,0.06 / 0.16 / 0.16,-6° / +18°,59.6 / 15,28°/s,1200,17.68,67.9t,2400,400
XM57,,,VIII,XM57,,1989,630,19.00s,270,900,0.43,3.00s,0.08 / 0.26 / 0.26,-7° / +15°,24 / 12,22°/s,810,13.57,59.7t,1300,370
Nemesis,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
Strv m/38,,,IX,Strv K,,1950,390,12.00s,252,1080,0.34,2.50s,0.15 / 0.19 / 0.19,-10° / +18°,40 / 18,30°/s,670,16.49,40.6t,1850,400
Pudel,,,IX,Pudel,,1929,135,4.20s,150,925,0.34,2.00s,0.12 / 0.20 / 0.20,-8° / +18°,55 / 20,38°/s,800,18.20,44t,940,370
KV-13,,,V,KV-1,,2368,450,11.40s,61,515,0.57,2.90s,0.16 / 0.25 / 0.25,-7° / +25°,34 / 10,24°/s,550,11.24,48.9t,840,310
Panther II,,,VIII,JPanther II,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.18 / 0.18,-6.5° / +15°,55 / 12,38°/s,700,13.25,52.8t,1150,360
Chrysler K GF,,,VIII,Chrysler GF,,1901,320,10.10s,198,945,0.36,1.90s,0.10 / 0.20 / 0.20,-6° / +15°,35 / 14,32°/s,1200,20.10,59.7t,1500,380
Pz.Kpfw. III/IV,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
43 M. Toldi III,,,X,Toldi III,,675,45,4.00s,64,800,0.43,2.10s,0.14 / 0.30 / 0.30,-10° / +25°,45 / 20,45°/s,155,16.85,9.2t,410,270
M24 Chaffee,,,III,Chaffee,,1683,115,4.10s,118,890,0.39,1.60s,0.08 / 0.13 / 0.13,-10° / +15°,65 / 21,42°/s,500,27.56,18.1t,610,360
LTS-85,,,V,LTS-85,,1500,300,12.00s,190,1027,0.44,2.30s,0.06 / 0.12 / 0.12,-7° / +20°,65 / 23,50°/s,700,29.54,23.7t,1150,390
Taschenratte,,,XI,Taschenratte,,2217,510,13.80s,268,1050,0.36,2.10s,0.05 / 0.22 / 0.22,-8° / +24°,18 / 15,15°/s,1900,9.51,199.7t,3300,400
PTZ-78,,,XI,PTZ-78,,2682,760,17.00s,295,960,0.36,2.40s,0.06 / 0.17 / 0.17,-6° / +15°,40 / 16,30°/s,1100,15.78,69.7t,2200,390
M10 RBFM,,,V,M10 RBFM,,2226,115,3.10s,130,792,0.37,1.80s,0.10 / 0.21 / 0.21,-10° / +30°,50 / 12,30°/s,410,13.78,29.8t,470,370
T2 Light Tank,,,II,T2 Light,,1192,12,7.66s,30,770,0.50,1.71s,0.08 / 0.25 / 0.25,-8° / +21°,72 / 20,47°/s,265,35.79,7.4t,300,260
AltProto AMX 30,,,II,AMX 30,,2690,390,8.70s,248,1100,0.37,2.30s,0.12 / 0.14 / 0.14,-8° / +20°,65 / 23,36°/s,720,22.36,32.2t,1650,390
T25 AT,,,VII,T25 AT,,2110,320,9.10s,198,945,0.38,1.70s,0.12 / 0.23 / 0.23,-10° / +20°,56 / 15,45°/s,780,20.09,38.8t,900,350
Object 704,,,IX,Obj. 704,,2632,750,17.10s,286,880,0.36,2.70s,0.08 / 0.19 / 0.19,-6° / +18°,40 / 14,28°/s,800,16.53,48.4t,1600,360
Charioteer Nomad,,,VIII,Charioteer,,2317,390,10.10s,268,1478,0.35,2.40s,0.10 / 0.25 / 0.25,-10° / +12°,52 / 20,42°/s,700,23.32,30t,1200,370
116-F3,,,X,116-F3,,1908,530,40.00s,266,950,0.42,2.90s,0.15 / 0.25 / 0.25,-8° / +20°,35 / 20,23°/s,840,14.56,57.7t,2100,400
E 100,,,X,Jg.Pz. E 100,,2451,1050,25.70s,299,925,0.35,2.70s,0.20 / 0.18 / 0.18,-6° / +17°,30 / 12,20°/s,1200,8.98,133.6t,2200,390
M4A3E8 Thunderbolt VII,,,VI,M4A3E2,,2091,115,3.30s,128,792,0.38,1.90s,0.12 / 0.24 / 0.24,-10° / +25°,35 / 15,32°/s,520,15.68,33.2t,850,370
Vickers Mk. E Type B,,,X,Vickers 3,,2925,390,8.00s,268,1540,0.27,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 25,50°/s,850,22.14,38.4t,1900,410
T110E5,,,X,T110E5,,2727,400,8.80s,258,1067,0.35,2.00s,0.06 / 0.14 / 0.14,-8° / +15°,37 / 12,30°/s,875,16.37,53.5t,2200,400
M60,,,X,M60,,2659,390,8.80s,268,1478,0.33,1.60s,0.08 / 0.10 / 0.10,-9° / +19°,60 / 23,52°/s,950,20.67,46t,2000,420
T-34-85M,,,V,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
Somua SM,,,V,Somua SM,,1957,300,37.00s,232,1000,0.40,2.40s,0.14 / 0.20 / 0.20,-10° / +15°,37 / 20,32°/s,700,12.57,55.7t,1450,370
Lago,,,VIII,Lago,,1483,110,4.45s,98,820,0.40,2.30s,0.12 / 0.25 / 0.25,-10° / +25°,45 / 18,38°/s,420,22.92,18.3t,570,330
Renault G1,No data
VK 65.01 (H),,,VI,VK 36.01 H,,1913,220,6.90s,145,773,0.36,2.30s,0.12 / 0.22 / 0.22,-8° / +15°,50.5 / 14,33°/s,550,13.17,41.8t,1250,370
A-43,,,VI,A-43,,2217,85,2.30s,145,990,0.34,1.90s,0.08 / 0.16 / 0.16,-5° / +25°,55 / 20,55°/s,640,23.83,26.9t,900,360
M16/43 Sahariano,,,III,Sahariano,,1111,50,2.70s,70,830,0.35,2.00s,0.14 / 0.25 / 0.25,-10° / +20°,50 / 15,42°/s,230,14.49,15.9t,450,320
VK 45.02 (P) Ausf. A,,,III,VK 45.02 A,,2207,320,8.70s,212,950,0.35,2.00s,0.10 / 0.18 / 0.18,-8° / +15°,38 / 16,43°/s,920,16.23,56.7t,1750,390
T34 FL,,,VIII,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
Charioteer,,,V,Charioteer,,2317,390,10.10s,268,1478,0.35,2.40s,0.10 / 0.25 / 0.25,-10° / +12°,52 / 20,42°/s,700,23.32,30t,1200,370
Conqueror,,,VIII,S. Conqueror,,2500,400,9.60s,259,1067,0.33,2.00s,0.10 / 0.12 / 0.12,-10° / +15°,34.3 / 12,26°/s,1120,14.60,76.7t,2300,400
IS-2M,,,VII,IS-2,,1902,390,12.30s,175,800,0.46,3.40s,0.16 / 0.23 / 0.23,-5° / +20°,37 / 14,44°/s,640,13.98,45.8t,1350,350
T 54D,,,IX,T 54D,,2108,390,11.10s,268,1478,0.33,2.70s,0.14 / 0.22 / 0.22,-5° / +20°,40 / 15,35°/s,580,12.98,44.7t,1600,380
T23E3,,,VII,T23E3,,2091,115,3.30s,149,792,0.36,2.20s,0.10 / 0.14 / 0.14,-10° / +25°,56.3 / 30,40°/s,530,14.83,35.7t,1050,380
Pvlvv fm/42,,,II,Pvlvv fm/42,,1043,40,2.30s,55,785,0.40,2.00s,0.12 / 0.38 / 0.38,-7° / +30°,50 / 20,35°/s,110,23.66,4.7t,220,280
IS-2,,,VIII,IS-2-II,,2250,300,8.00s,221,980,0.38,2.30s,0.08 / 0.16 / 0.16,-7° / +20°,38 / 15,34°/s,750,14.81,50.7t,1650,350
AMX 13 57 GF,,,X,AMX 13 105,,2163,390,27.00s,234,1000,0.42,2.30s,0.12 / 0.15 / 0.15,-8° / +12°,68 / 22,40°/s,600,38.22,15.7t,1600,390
Emil I,,,IX,Emil II,,2200,440,30.00s,252,1080,0.42,2.80s,0.18 / 0.25 / 0.25,-12° / +8°,40 / 12,30°/s,550,15.03,36.6t,1800,380
Ho-Ri 2,,,X,Ho-Ri 3,,2745,700,15.30s,305,980,0.36,2.50s,0.10 / 0.14 / 0.14,-7° / +15°,35 / 15,36°/s,1000,15.31,65.3t,2000,380
212A,,,IX,212A,,1385,900,39.00s,52,425,0.75,5.20s,0.42 / 0.24 / 0.24,-1.2° / +45°,35 / 10,18°/s,850,15.67,54.2t,460,270
SU-100M1,,,VII,SU-100M1,,2113,250,7.10s,212,880,0.41,2.30s,0.10 / 0.14 / 0.14,-4° / +20°,54 / 16,25°/s,520,16.39,31.7t,900,350
Bat.-Châtillon 155 55,,,VII,B-C 155 55,,1360,680,30.00s,48,490,0.63,4.50s,0.48 / 0.50 / 0.50,-1° / +45°,56.3 / 14,24°/s,630,18.48,34.1t,440,270
SDP 44 Burza,,,VI,Burza,,2000,280,8.40s,182,966,0.40,2.10s,0.10 / 0.25 / 0.25,-7° / +15°,50 / 14,30°/s,520,14.97,34.7t,700,320
Prototipo 6,,,VIII,Prototipo 6,,2000,300,9.00s,226,1030,0.32,2.50s,0.14 / 0.18 / 0.18,-9° / +20°,50 / 18,42°/s,600,20.19,29.7t,1300,380
