,,X,121B,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
,,X,Monkey King,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
,,VIII,ISU-130,,2854,490,10.30s,238,960,0.37,2.10s,0.06 / 0.12 / 0.12,-8° / +14.3°,38 / 14,28°/s,600,12.84,46.7t,1000,380
,,X,Minotauro,,2839,530,24.00s,265,1303,0.44,2.30s,0.04 / 0.15 / 0.15,-10° / +20°,30 / 12,30°/s,780,13.64,57.2t,2000,390
,,XI,Leopard 120,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
,,XI,AS-XX 40 t,,2834,410,33.00s,263,1380,0.35,2.30s,0.10 / 0.17 / 0.17,-8° / +11°,66 / 24,32°/s,1230,30.98,39.7t,1950,400
,,VIII,"JgTig.8,8 cm",,2824,240,5.10s,212,1000,0.31,1.80s,0.08 / 0.17 / 0.17,-7° / +15°,38 / 16,32°/s,700,10.09,69.4t,1500,390
,,IX,WZ-120G FT,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
,,VIII,TS-5,,2824,400,8.50s,248,860,0.44,1.80s,0.06 / 0.16 / 0.16,-5° / +20°,26 / 12,24°/s,750,12.56,59.7t,1500,370
,,II,L-60,,1020,12,5.00s,27,805,0.48,2.00s,0.12 / 0.20 / 0.20,-10° / +30°,48 / 20,45°/s,160,22.54,7.1t,360,280
,,VII,SU-14-1,,1015,900,53.20s,52,425,0.82,6.60s,0.57 / 0.30 / 0.30,-1° / +60°,30 / 8,16°/s,700,14.63,47.9t,350,260
,,III,V–4/40,,1000,45,2.70s,64,800,0.40,2.00s,0.10 / 0.20 / 0.20,-10° / +20°,40 / 20,46°/s,180,15.32,11.8t,445,350
,,III,Pz. M 15,,1000,40,2.40s,42,750,0.41,2.00s,0.12 / 0.22 / 0.22,-10° / +20°,40 / 15,42°/s,250,16.22,15.4t,470,330
,,II,Ha-Go,,1000,75,4.50s,60,710,0.46,2.10s,0.10 / 0.24 / 0.24,-15° / +20°,40 / 15,52°/s,150,19.09,7.9t,350,310
,,II,LT vz. 35,,1000,40,2.40s,52,720,0.38,1.70s,0.11 / 0.28 / 0.28,-10° / +25°,40 / 15,52°/s,200,19.42,10.3t,360,320
,,III,10TP,,1000,75,4.50s,63,782,0.38,2.10s,0.12 / 0.20 / 0.20,-12° / +20°,50 / 20,45°/s,220,17.77,12.4t,410,310
,,III,A7E3,,1000,50,3.00s,78,792,0.35,1.60s,0.12 / 0.28 / 0.28,-10° / +20°,35 / 15,40°/s,252,14.04,18t,460,320
,,I,MS-1,,972,47,2.90s,51,757,0.46,2.50s,0.14 / 0.38 / 0.38,-8° / +30°,32 / 8,48°/s,60,12.78,4.7t,220,280
,,I,K-housenka,,968,50,3.10s,45,488,0.42,1.90s,0.14 / 0.36 / 0.36,-10° / +20°,25 / 8,40°/s,60,7.77,7.7t,235,280
,,III,M3 Light,,960,40,2.50s,48,765,0.46,1.90s,0.16 / 0.24 / 0.24,-10° / +25°,61 / 20,40°/s,268,22.78,11.8t,390,280
,,II,T-60,,960,40,2.50s,58,915,0.38,2.20s,0.12 / 0.26 / 0.26,-5° / +20°,45 / 18,65°/s,110,17.41,6.3t,340,300
,,II,AMR P.103,,953,27,1.70s,46,950,0.38,1.80s,0.10 / 0.20 / 0.20,-12° / +15°,45 / 20,35°/s,95,17.92,5.3t,350,320
,,II,AMR 35,,953,27,1.70s,46,950,0.38,1.80s,0.10 / 0.20 / 0.20,-12° / +15°,55 / 20,35°/s,80,12.50,6.4t,360,320
,,II,R35/FCM 36,,947,30,1.90s,38,600,0.46,1.50s,0.16 / 0.24 / 0.24,-17° / +20°,23 / 12,38°/s,82,7.88,10.4t,300,310
,,II,Tetrarch,,945,45,2.86s,64,792,0.40,2.29s,0.16 / 0.29 / 0.29,-10° / +25°,64 / 20,47°/s,180,25.55,7t,280,260
,,II,Pz. 35 R,,943,55,3.50s,50,750,0.48,2.80s,0.18 / 0.34 / 0.34,-8° / +25°,23 / 12,34°/s,82,7.89,10.4t,360,310
,,IV,T-34 1941,,943,110,7.00s,68,612,0.51,2.90s,0.16 / 0.29 / 0.29,-5° / +25°,54 / 20,37°/s,500,18.79,26.6t,560,320
,,III,MTLS-1G14,,941,40,4.60s,68,782,0.42,1.50s,0.12 / 0.22 / 0.22,-11.88° / +22.32°,55 / 20,40°/s,500,26.59,18.8t,410,280
,,I,FT,,939,8,5.80s,23,800,0.52,1.60s,0.10 / 0.33 / 0.33,-10° / +35°,21 / 8,60°/s,50,10.90,4.6t,250,300
,,I,NC-31,,939,36,2.30s,40,750,0.46,2.00s,0.14 / 0.38 / 0.38,-6° / +35°,25 / 8,60°/s,85,13.30,6.4t,240,280
,,I,Medium I,,933,70,4.50s,45,459,0.52,2.30s,0.16 / 0.36 / 0.36,-7° / +16°,24 / 8,35°/s,90,7.73,11.7t,300,280
,,II,H35,,923,40,2.60s,34,705,0.48,2.00s,0.16 / 0.30 / 0.30,-10° / +13°,27 / 11,34°/s,82,8.88,9.2t,320,300
,,II,R35,,923,40,2.60s,34,705,0.48,2.00s,0.16 / 0.30 / 0.30,-16° / +20°,23 / 12,34°/s,82,7.90,10.4t,310,300
,,II,M2,,923,40,2.60s,48,782,0.47,2.10s,0.12 / 0.25 / 0.25,-10° / +20°,58 / 17,40°/s,262,22.96,11.4t,330,320
,,IV,Luchs,,923,30,18.00s,95,940,0.50,2.20s,0.18 / 0.22 / 0.22,-10° / +20°,60 / 22,33°/s,400,31.57,12.7t,520,360
,,II,Light VIC,,921,9,18.00s,27,884,0.52,1.50s,0.08 / 0.32 / 0.32,-10° / +37°,52.5 / 20,40°/s,88,17.60,5t,300,300
,,III,Bison,,921,350,22.80s,35,275,0.86,6.50s,0.50 / 0.42 / 0.42,-4° / +75°,40 / 10,16°/s,100,14.39,7t,230,245
,,II,G.Pz. Mk. VI,,911,410,27.00s,27,380,0.84,6.50s,0.60 / 0.58 / 0.58,-3° / +42°,50 / 12,18°/s,88,13.97,6.3t,180,250
,,I,T1,,900,30,8.00s,33,600,0.51,2.50s,0.14 / 0.38 / 0.38,-7° / +20°,41 / 10,42°/s,150,20.39,7.4t,250,280
,,I,R. Otsu,,900,45,3.00s,42,700,0.46,2.30s,0.14 / 0.36 / 0.36,-22° / +20°,23 / 8,40°/s,100,11.99,8.3t,240,280
,,III,Valentine,,900,75,5.00s,75,892,0.41,2.30s,0.16 / 0.32 / 0.32,-8° / +17°,24 / 10,40°/s,185,10.11,18.3t,390,320
,,IV,Pz.Sfl. IC,,900,70,10.00s,100,835,0.39,2.00s,0.08 / 0.28 / 0.28,-10° / +20°,54 / 20,44°/s,160,15.52,10.3t,415,320
,,II,Te-Ke,,900,45,3.00s,41,685,0.40,2.20s,0.12 / 0.24 / 0.24,-15° / +20°,42 / 15,44°/s,65,14.26,4.6t,320,300
,,III,Pz. II G,,891,30,15.00s,95,940,0.50,2.30s,0.20 / 0.22 / 0.22,-8° / +16°,65 / 20,55°/s,220,21.01,10.5t,430,330
,,II,MKA,,868,55,3.80s,50,750,0.42,2.30s,0.14 / 0.22 / 0.22,-10° / +20°,40 / 15,46°/s,200,16.95,11.8t,400,320
,,V,ARMT,,863,115,19.00s,128,900,0.42,2.10s,0.15 / 0.23 / 0.23,-15° / +60°,45 / 18,40°/s,550,16.30,33.8t,600,370
,,I,Fiat 3000,,857,40,2.80s,39,640,0.42,2.00s,0.16 / 0.38 / 0.38,-10° / +20°,21 / 8,50°/s,63,11.05,5.7t,260,280
,,II,M14/41,,857,50,3.50s,52,630,0.43,2.00s,0.14 / 0.31 / 0.31,-10° / +20°,32 / 12,38°/s,145,10.51,13.8t,380,300
,,II,Cruiser II,,839,45,11.00s,49,732,0.45,2.40s,0.16 / 0.28 / 0.28,-15° / +20°,40 / 15,38°/s,170,12.03,14.1t,360,300
,,II,TKS 20,,837,11,6.20s,43,820,0.40,1.80s,0.08 / 0.18 / 0.18,-7° / +25°,45 / 12,45°/s,42,16.15,2.6t,320,290
,,II,T7 Car,,818,8,24.00s,27,895,0.53,1.70s,0.10 / 0.26 / 0.26,-15° / +40°,56 / 20,44°/s,262,26.85,9.8t,300,280
,,I,Cruiser I,,807,45,11.50s,40,732,0.52,2.50s,0.18 / 0.36 / 0.36,-15° / +20°,35 / 12,35°/s,135,10.73,12.6t,260,280
,,II,T-45,,783,47,3.60s,51,757,0.40,2.40s,0.16 / 0.30 / 0.30,-6° / +20°,41 / 15,52°/s,85,12.88,6.6t,280,300
,,II,AM Gendron,,771,27,2.10s,46,950,0.42,1.80s,0.10 / 0.10 / 0.15,-12° / +15°,50 / 30,34°/s,200,32.79,6.1t,280,280
,,II,FCM 36,,704,27,2.30s,46,950,0.41,1.80s,0.14 / 0.24 / 0.24,-17° / +10°,24 / 12,42°/s,120,9.89,12.1t,280,300
,,III,Toldi III,,675,45,4.00s,64,800,0.43,2.10s,0.14 / 0.30 / 0.30,-10° / +25°,45 / 20,45°/s,155,16.85,9.2t,410,270
,,I,4TP,,635,55,5.20s,45,488,0.46,2.80s,0.16 / 0.28 / 0.28,-8° / +15°,35 / 12,50°/s,85,18.32,4.6t,235,280
